"Code","Country","Continent","Date","NewCases","NewDeaths","Recovered","NewTests","Population","GDP","GDPCapita","Month","Week","CumCases","CumDeaths","CumRecovered","CumTests","Active","FatalityRate","Cases_1M_Pop","Deaths_1M_Pop","Recovered_1M_Pop","Tests_1M_Pop"
"PRT","Portugal","Europe",2020-05-05,0,0,0,0,10281762,195041,18882,5,18,25524,1063,0,458553,24461,4.16470772606175,2482.45388290451,103.386948657244,0,44598.6787089606
"PRI","Puerto Rico","North America",2020-05-05,35,0,0,0,3195153,104218,28451,5,18,1843,97,0,0,1746,5.26315789473684,576.81118869738,30.3584836156516,0,0
"QAT","Qatar","Asia",2020-05-05,640,0,0,2967,2781677,167605,63506,5,18,16191,12,0,109762,16179,0.0741152492125255,5820.58952207607,4.31394442992483,0,39458.9307097841
"ROU","Romania","Europe",2020-05-05,349,23,0,0,19473936,211803,10763,5,18,13512,803,0,199068,12709,5.9428656009473,693.850488160175,41.234601982876,0,10222.2786395108
"RUS","Russia","Europe",2020-05-05,10581,76,0,157114,144478050,1530750,10956,5,18,145268,1356,0,4460357,143912,0.9334471459647,1005.46761255429,9.38550873298747,0,30872.2120765057
"RWA","Rwanda","Africa",2020-05-05,2,0,0,0,12301939,9136,748,5,18,261,0,0,28754,261,0,21.2161676301598,0,0,2337.35511125523
"KNA","Saint Kitts and Nevis","North America",2020-05-05,0,0,0,0,52441,852,16818,5,18,15,0,0,0,15,0,286.035735397876,0,0,0
"LCA","Saint Lucia","North America",2020-05-05,0,0,0,0,181889,1718,9607,5,18,18,0,0,0,18,0,98.961454513467,0,0,0
"VCT","Saint Vincent and the Grenadines","North America",2020-05-05,0,0,0,0,110210,729,6980,5,18,17,0,0,0,17,0,154.25097541058,0,0,0
"SMR","San Marino","Europe",2020-05-05,0,0,0,0,33785,1689,50588,5,18,582,41,0,0,541,7.0446735395189,17226.5798431256,1213.55631197277,0,0
"STP","Sao Tome and Principe","Africa",2020-05-05,156,2,0,0,211028,337,1921,5,18,174,3,0,0,171,1.72413793103448,824.535132778589,14.2161229789412,0,0
"SAU","Saudi Arabia","Asia",2020-05-05,1645,7,0,0,33699947,683827,20761,5,18,28656,191,0,0,28465,0.666527079843663,850.327746806249,5.6676646998881,0,0
